type	date	text	polarity	subjectivity	username	location	lat long formula	geo	follower count	retweets	favorites
Dog Image	Sat Apr 09 23:45:42 +0000 2016	This dog's language is offensive. @MsMaddy21 https://t.co/FCiGkGmcUX	0	0	JoshSadlock	"Star City, PA"	"0.3084251, 32.569258"	"0.3084251, 32.569258"	990	3	0
At Pet Supplies Plus	Fri Apr 15 14:33:42 +0000 2016	"RT @petsuppliesplus: Now thru Sunday stop in and save with this $5 off $30 coupon at participating locations
https://t.co/oE0C5t3FNc https:É??"	0	0	KRDerr	"Bethlehem, Pa"	"-1.4505599, -48.4682452"	"-1.4505599, -48.4682452"	158	0	1
At Pet Supplies Plus	Fri Apr 15 14:33:42 +0000 2016	"RT @petsuppliesplus: Now thru Sunday stop in and save with this $5 off $30 coupon at participating locations
https://t.co/oE0C5t3FNc https:É??"	0	0	KRDerr	"Bethlehem, Pa"	"-1.4505599, -48.4682452"	"-1.4505599, -48.4682452"	229	281	0
Natural Balance	Wed Apr 13 09:22:41 +0000 2016	RT @BlackBecky_: But women have to start respecting men and the natural balance of life as well. https://t.co/d7HGadP5wI	0.1	0.4	IvyLeague3G	VA 	"13.2904027, 108.4265113"	"13.2904027, 108.4265113"		1	
Dog Treats	Fri Apr 08 00:32:08 +0000 2016	RT @dogtimedotcom: We will teach you to make these delicious tasty teeth cleaning dog treats! VIDEO --&gt; https://t.co/dYJafLdOq2 https://t.cÉ??	1	1	legsluquis	"San Juan, Puerto Rico"	"18.38423905, -66.0534398736473"	"18.38423905, -66.0534398736473"	4	0	0
Dog Treats	Fri Apr 08 22:13:13 +0000 2016	RT @dogtimedotcom: We will teach you to make these delicious tasty teeth cleaning dog treats! VIDEO --&gt; https://t.co/dYJafLdOq2 https://t.cÉ??	1	1	legsluquis	"San Juan, Puerto Rico"	"18.38423905, -66.0534398736473"	"18.38423905, -66.0534398736473"	18	3	0
Petco	Fri Apr 08 02:03:14 +0000 2016	RT @SASFAPR: Gracias Petco de Aguadilla https://t.co/51O5KQMAmg https://t.co/VZdexvNdz8	0	0	legsluquis	"San Juan, Puerto Rico"	"18.38423905, -66.0534398736473"	"18.38423905, -66.0534398736473"	258	19	0
Petsmart	Fri Apr 08 02:56:41 +0000 2016	RT @peta: Activists in #PalmSprings &amp; #Phoenix protest cruelty found at @PetSmart animal suppliersÉ??there's no excuse! https://t.co/LsX3xv5mÉ??	0.03125	0.05	br081	Mexico 	"19.4325301, -99.1332101"	"19.4325301, -99.1332101"	509	0	0
Dog Image	Wed Apr 13 00:13:00 +0000 2016	"RT @JoeDanaReports: 72 yr-old survivor was w/ dog 9 days: ""I Talked to Queenie &amp; she talked back w/ her eyes, her love, &amp; tail"" #12News httÉ??"	0.25	0.3	sunflwer1975	"Pahoa, HI"	"19.5002386, -154.9403001368"	"19.5002386, -154.9403001368"	45	0	1
Petco	Wed Apr 13 23:57:35 +0000 2016	"I'm at Petco Guadalajara - @petcomexico in Zapopan, JAL https://t.co/za7aqk0jIW"	0	0	JoseanCoss	"Guadalajara, Mexico"	"20.676143, -103.3469981"	"20.676143, -103.3469981"	332	0	0
Rescue Dog	Sat Apr 16 21:39:14 +0000 2016	Stray Dog Collapses When Someone Finally Comes To Help Her https://t.co/DFhqldkMAx	0	1	cinergizerbunny	Maui Hawaii USA	"20.8029568, -156.310683216022"	"20.8029568, -156.310683216022"	904	10980	0
At Chewy	Fri Apr 15 20:29:52 +0000 2016	RT @Chewy: Happy Friday! Want to win Dogswell treats for your pup? RT &amp; follow for your chance to win! #FreebieFriday https://t.co/SLz7HGBdÉ??	0.933333333	0.6	xriyah	"Maui, Hawaii"	"20.8029568, -156.310683216022"	"20.8029568, -156.310683216022"	27582	49	0
Rescue Dog	Sat Apr 09 00:01:59 +0000 2016	"Original handwritten lyrics to @Appleseed_Cast ""Mare Vitalis"" being auctioned off to raise money for rescue dog: https://t.co/upfyo5cgMc"	0.375	0.75	DeepElm	"Maui, Hawaii"	"20.8029568, -156.310683216022"	"20.8029568, -156.310683216022"	259	10980	0
At Petsmart	Wed Apr 13 23:44:47 +0000 2016	RT @MomsWhoSave: .@PetSmart Grooming SalonÉ??Rosie Looks Great &amp; We Love the Convenience https://t.co/X72jvcSOIS #PetSmartGrooming #ad https:É??	0.65	0.675	HBSoulStains	Hawaii	"21.2160437, -157.9752029"	"21.2160437, -157.9752029"	68080	0	0
At Petsmart	Wed Apr 13 23:38:11 +0000 2016	Sofia looks amazing after her Chi Package from @PetSmart #petsmartgrooming is the best! https://t.co/YC0P2RfqFH #ad https://t.co/7Yhqinxiqf	0.8	0.6	HBSoulStains	Hawaii	"21.2160437, -157.9752029"	"21.2160437, -157.9752029"	3238	0	0
At Petsmart	Wed Apr 13 21:38:15 +0000 2016	Sofia Looking Gorgeous After her Chi Package Grooming @PetSmart... https://t.co/YC0P2RfqFH	0.7	0.9	HBSoulStains	Hawaii	"21.2160437, -157.9752029"	"21.2160437, -157.9752029"	274	0	1
Pet Food	Fri Apr 08 23:06:57 +0000 2016	RT @CoolPetVideo: Pet Bird Food Treats Wild Oats and Banksia Guys -  https://t.co/tGc4dXyyJf	0.1	0.4	AlanaBrodeway	Hawaii	"21.2160437, -157.9752029"	"21.2160437, -157.9752029"	345	0	2
Petsmart	Wed Apr 13 23:44:47 +0000 2016	RT @MomsWhoSave: .@PetSmart Grooming SalonÉ??Rosie Looks Great &amp; We Love the Convenience https://t.co/X72jvcSOIS #PetSmartGrooming #ad https:É??	0.65	0.675	HBSoulStains	Hawaii	"21.2160437, -157.9752029"	"21.2160437, -157.9752029"	234	0	0
Petsmart	Wed Apr 13 23:38:11 +0000 2016	Sofia looks amazing after her Chi Package from @PetSmart #petsmartgrooming is the best! https://t.co/YC0P2RfqFH #ad https://t.co/7Yhqinxiqf	0.8	0.6	HBSoulStains	Hawaii	"21.2160437, -157.9752029"	"21.2160437, -157.9752029"	277	0	0
Petsmart	Wed Apr 13 23:35:53 +0000 2016	RT @DeliciouslySavv: Shadow Loves His New Look From PetSmart?? Grooming! #PetSmartGrooming #sponsored  https://t.co/ClwaSk45vR https://t.co/É??	0.170454545	0.454545455	HBSoulStains	Hawaii	"21.2160437, -157.9752029"	"21.2160437, -157.9752029"	361	0	0
Petsmart	Wed Apr 13 23:33:21 +0000 2016	Complete Health w/ @wellnesspetfood now GRAIN-FREE wholesome nutrition for your pets Wellbeing! #GrainFreeForMe https://t.co/97VrLwZXzO #ad	0.125	0.4	HBSoulStains	Hawaii	"21.2160437, -157.9752029"	"21.2160437, -157.9752029"	348	0	0
Dog Treats	Thu Apr 07 23:44:10 +0000 2016	Training a dog to heel off the leash with treats and positive reinforcement before training on the leash. Teaches a dog to heel on command.	0.227272727	0.545454545	abrontoure	"Honolulu, HI 96815"	"21.2745325774381, -157.819602852042"	"21.2745325774381, -157.819602852042"	36383	0	0
At Petsmart	Fri Apr 15 22:28:17 +0000 2016	RT @PetSmart: #PetExpressions has stencils for every team... visit the PetSmart grooming salon and show off your team spirit! https://t.co/É??	0	0	gravyontherice	honolulu	"21.304547, -157.8556763"	"21.304547, -157.8556763"	276	0	0
Rescue Dog	Fri Apr 08 23:45:42 +0000 2016	Rescue dog donates blood to save sight of kittens https://t.co/40bYxVxI3k https://t.co/6FcarP2nC6	0	0	SocialNHonolulu	Honolulu	"21.304547, -157.8556763"	"21.304547, -157.8556763"	236	0	0
Pet Food	Wed Apr 13 00:15:17 +0000 2016	".@ScottWalker Returns to Pet Issue, Making Food Stamp Recipients Pee in Cups https://t.co/jWiESZd2BN MT @annamerlan https://t.co/F6YR0XArqZ"	0	0	Prison_Health	"Honolulu, Hawaii"	"21.304547, -157.8556763"	"21.304547, -157.8556763"	36383	0	0
Dog Image	Wed Apr 13 00:12:48 +0000 2016	RT @kinseyschofield: Just a little dog exploring Mom's closet... #morkie #morkies #dogs #dog #yorkie https://t.co/G3JqZKgcMq	-0.1875	0.5	halorebellion15	"Honolulu, HI"	"21.304547, -157.8556763"	"21.304547, -157.8556763"	276	0	0
Dog Treats	Mon Apr 11 23:53:36 +0000 2016	RT @annjjaay: Cinnamon gained so much weight cos my grandparents kept buying her dog treats	0.2	0.2	ryankaneshiro	"Honolulu, HI"	"21.304547, -157.8556763"	"21.304547, -157.8556763"	276	0	0
Pet Food	Sat Apr 16 21:15:35 +0000 2016	"""@twi_cats: https://t.co/Q6FFjiyyYg""This kitty cat's family owns a pet food shop in Moscow??ê?He greets every customer?????ÅÆ??ü????Å??Å??ü??üü?ü??ü??ü¨?ü??Å??Å?Üß??Å??Å?ë??Ñ¨ù?Å??Å??Å????"	0	0	kisscatdance	"Honolulu, HI"	"21.304547, -157.8556763"	"21.304547, -157.8556763"	13151	2	0
Petco	Fri Apr 08 23:12:00 +0000 2016	"RT @LatestHype: .@TeamSESH confirms ""paidprogramming2"" will feature production from @DJmustard &amp; @Timbaland https://t.co/Xp6e9yHp5M https:/É??"	0	0	YvngSvicidal_	"Kapolei, HI"	"21.3339504, -158.0771852"	"21.3339504, -158.0771852"	35	0	1
Petco	Fri Apr 08 23:11:55 +0000 2016	RT @LatestHype: .@slug_christ explains why @MattyBRaps is his favorite artist to work with https://t.co/Xp6e9ypOee https://t.co/ftOKkJAtlv	0.5	1	YvngSvicidal_	"Kapolei, HI"	"21.3339504, -158.0771852"	"21.3339504, -158.0771852"	320	0	0
Dog Food	Fri Apr 08 23:37:32 +0000 2016	"If you have food or a dog in your Snapchat preview, there's a 100% chance I'll watch your story ????"	0	0	_keramel	"O'ahu, Hawai'i"	"21.48349555, -158.03640379298"	"21.48349555, -158.03640379298"	534	0	0
Dog Park	Sat Apr 09 23:21:12 +0000 2016	"RT @RSPCAQld: Come see us at Dogs on Patrol today!
Cnr Gordon Pde and Burwood Rd, Everton Park.

We have Milo the dog joining... https://t.É??"	0	0	nkn03	"Queensland, Australia"	"-21.9182855, 144.4588889"	"-21.9182855, 144.4588889"	63	17	0
Dog Park	Sat Apr 09 23:04:11 +0000 2016	"Come see us at Dogs on Patrol today!
Cnr Gordon Pde and Burwood Rd, Everton Park.

We have Milo the dog joining... https://t.co/gzDKG3rOn3"	0	0	RSPCAQld	"Queensland, Australia"	"-21.9182855, 144.4588889"	"-21.9182855, 144.4588889"	734	280	0
Rescue Dog	Fri Apr 08 23:42:43 +0000 2016	Dog no-kill rescue shelter - https://t.co/fihPUfHjBU https://t.co/gdmh3VUTXr	0	0	Fayes4Art	"Queensland, Australia"	"-21.9182855, 144.4588889"	"-21.9182855, 144.4588889"	195	0	0
Healthy Dog Food	Mon Apr 11 02:40:09 +0000 2016	"We started feeding our dogs Blue Dog Food, it's really healthy for them...real lamb, 7 antioxidants...all kind of... https://t.co/0Hfc3dKodo"	0.366666667	0.5	deanslongroad	"Fairview Heights, IL"	"25.0205375, -77.358790996939"	"25.0205375, -77.358790996939"	1118	7	0
At Petco	Sat Apr 09 22:27:29 +0000 2016	I just checked in @Petco with #mPLUSPlaces Download today!  https://t.co/VjTGx15Kao	0	0	cmcdonaldm	miami	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	118	96799	0
At Petco	Sat Apr 09 18:52:02 +0000 2016	"@meldawgg @Petco if u see a wiener dog, pls post a pic"	0	0	cyanidetree	miami	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	28167	0	0
Dog Image	Sat Apr 09 00:08:34 +0000 2016	É???? dog poopbags puppie https://t.co/iQqf0rumnI https://t.co/8WikbXUZ6l	0	0	911SaveBeans	Miami	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	269	96799	0
Dog Image	Mon Apr 11 00:18:29 +0000 2016	É??É?ˇ dog poopbags puppie poop bags for sale https://t.co/vvrTzs0ekx https://t.co/i3xarzWh6B	0	0	911SaveBeans	Miami	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	763	13301	0
Dog Park	Fri Apr 08 23:23:30 +0000 2016	i went to the dog park for the first time today and i dont think ive ever been happier	0.25	0.333333333	_alexandraf_	miami	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	22	96799	0
Petco	Sat Apr 09 22:27:29 +0000 2016	I just checked in @Petco with #mPLUSPlaces Download today!  https://t.co/VjTGx15Kao	0	0	cmcdonaldm	miami	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	285	0	0
Pet Food	Fri Apr 08 22:55:39 +0000 2016	RT @CoolPetVideo: Pet Bird Food Treats Wild Oats and Banksia Guys -  https://t.co/tGc4dXyyJf	0.1	0.4	dana_neale	Miami	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	164	0	0
Puppy Image	Sat Apr 16 21:48:46 +0000 2016	É??É?? dog waste bags dog poopbags puppy https://t.co/iDU2UIzkbb https://t.co/PagMA7zsGH	-0.2	0	911SaveBeans	Miami	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	50	96799	0
At Petco	Fri Apr 08 22:56:10 +0000 2016	RT @Petco: #DidYouKnow untrimmed dog nails can lead to paw deformity? How to trim your dog's nails: https://t.co/GiT9gzolc8 https://t.co/8eÉ??	0	0	PeaonyTea	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	91	18054	0
At Petco	Tue Apr 12 23:35:05 +0000 2016	RT @Petco: Housetraining your #puppy? Quick tip: Start training on a weekend when you have time to create a routine. https://t.co/ChOKMRz1Cl	0.333333333	0.5	DSUVetServices	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	108	96799	0
At Petsmart	Tue Apr 12 21:30:32 +0000 2016	"That's awesome, @KamaBosse! @PetSmart"	1	1	dogandhisboy	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	13	96799	0
At Petsmart	Tue Apr 12 21:30:05 +0000 2016	"RT @KamaBosse: Baby Emmy is on the @petsmart social media channels as the ""Meeting Crasher"" forÉ?? https://t.co/hvsJX5bniy"	0.033333333	0.066666667	dogandhisboy	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	38	96799	0
Dog Food	Tue Apr 12 23:57:16 +0000 2016	RT @brawadis: Soooo my mom secretly recorded my dad tryna force my dog to eat his food .. Umm ????????????????????????????????????????????????????????????????????WHY ARE U PREGNANT https://tÉ??	-0.033333333	0.6	tulipsxc	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	131	96799	0
Dog Image	Wed Apr 13 00:12:26 +0000 2016	RT @red_mercer: so I was wrong about the dog dick face swap https://t.co/m7dozIGvl9	-0.5	0.9	ricardo_mad	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	219	96799	0
Dog Treats	Fri Apr 08 22:52:12 +0000 2016	"RT @BabyAnimalPics: ""I put dog treats in easter eggs and then my dog went on an easter egg hunt"" ???ç https://t.co/HIk2W4TqAP"	0	0	lilly0019	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	389	1	0
Hollywood Feed	Sat Apr 09 15:39:23 +0000 2016	RT @streetdogfdn: It's #adoption  DAY???? Meet Marco &amp; other #Adoptable dogs at Hollywood Feed on Union 12-3 PM today Saturday #sdfMarco httpsÉ??	-0.125	0.375	busagirl2011	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	9	96799	0
Hollywood Feed	Sat Apr 09 15:39:23 +0000 2016	RT @streetdogfdn: It's #adoption  DAY???? Meet Marco &amp; other #Adoptable dogs at Hollywood Feed on Union 12-3 PM today Saturday #sdfMarco httpsÉ??	-0.125	0.375	busagirl2011	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	170	18054	0
Hollywood Feed	Sat Apr 09 15:39:23 +0000 2016	RT @streetdogfdn: It's #adoption  DAY???? Meet Marco &amp; other #Adoptable dogs at Hollywood Feed on Union 12-3 PM today Saturday #sdfMarco httpsÉ??	-0.125	0.375	busagirl2011	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	75	96799	0
Hollywood Feed	Sat Apr 09 15:39:23 +0000 2016	RT @streetdogfdn: It's #adoption  DAY???? Meet Marco &amp; other #Adoptable dogs at Hollywood Feed on Union 12-3 PM today Saturday #sdfMarco httpsÉ??	-0.125	0.375	busagirl2011	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	5749	96799	0
Hollywood Feed	Sat Apr 09 15:39:23 +0000 2016	RT @streetdogfdn: It's #adoption  DAY???? Meet Marco &amp; other #Adoptable dogs at Hollywood Feed on Union 12-3 PM today Saturday #sdfMarco httpsÉ??	-0.125	0.375	busagirl2011	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	594	13301	0
Petco	Fri Apr 08 22:56:10 +0000 2016	RT @Petco: #DidYouKnow untrimmed dog nails can lead to paw deformity? How to trim your dog's nails: https://t.co/GiT9gzolc8 https://t.co/8eÉ??	0	0	PeaonyTea	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	280	96799	0
Petco	Tue Apr 12 23:35:05 +0000 2016	RT @Petco: Housetraining your #puppy? Quick tip: Start training on a weekend when you have time to create a routine. https://t.co/ChOKMRz1Cl	0.333333333	0.5	DSUVetServices	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	830	96799	0
Puppy Image	Mon Apr 11 00:16:09 +0000 2016	RT @claudssss9: How cute is my lil puppy I love him so much omfg ??ê????? https://t.co/RslAUjneeP	0.4	0.6	emstamborini	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	40	96799	0
Puppy Image	Thu Apr 14 00:19:56 +0000 2016	RT @hoIiestcompanys: He is the cutest little puppy https://t.co/vH85C6cLOz	-0.1875	0.5	rauhlsdefender	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	668	96799	0
Puppy Image	Sat Apr 16 00:33:19 +0000 2016	RT @SincerelyTumblr: puppy head tilts are my biggest weakness ???ç https://t.co/twn8LjrHRB	0	0	allisobbing	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	1	96799	0
Puppy Image	Sat Apr 16 21:49:59 +0000 2016	RT @BabyAnimalsPic: my puppy got stuck underneath the couch &amp; when I came to help him he got really happy https://t.co/tmZvQOfwn5	0.8	1	Melsterrr29	"Miami, FL"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	346	96799	0
At Petco	Fri Apr 08 21:26:28 +0000 2016	"Getting my baby's food (at @Petco in Doral, FL) https://t.co/FRGmikzgJt https://t.co/25hU4DhCrZ"	0	0	jcastranova3	"Miami, Florida"	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	133	96799	0
Pet Food	Wed Apr 13 22:00:52 +0000 2016	Your donation can provide food and shelter for our resident's pets for an entire month. Donate here: https://t.co/Qw8vgsjjc7	0	0.625	ChapmanPartner	"Miami, Florida "	"25.7742658, -80.1936588"	"25.7742658, -80.1936588"	128	96799	0
Blue Buffalo	Tue Apr 12 07:30:09 +0000 2016	"Blue Buffalo Breaks Its Promise To Consumers! 
--&gt; https://t.co/G57G71vcAm

#miamidogs #dogwalker #petsitter https://t.co/PAtJdGQAYR"	0	0.1	TheeInsidePoop	"Miami Beach, FL"	"25.7881436, -80.1272704"	"25.7881436, -80.1272704"	405	0	0
Blue Buffalo	Tue Apr 12 07:30:09 +0000 2016	"Blue Buffalo Breaks Its Promise To Consumers! 
--&gt; https://t.co/G57G71vcAm

#miamidogs #dogwalker #petsitter https://t.co/PAtJdGQAYR"	0	0.1	TheeInsidePoop	"Miami Beach, FL"	"25.7881436, -80.1272704"	"25.7881436, -80.1272704"	270	13301	0
Fromm	Sat Apr 16 19:30:53 +0000 2016	"Man's main task in life is to give birth to himself, to become what he potentially is. - Erich Fromm"	0.083333333	0.666666667	cmssocialmedia	"Miami Beach, FL"	"25.7881436, -80.1272704"	"25.7881436, -80.1272704"	23	96799	0
Fromm	Sat Apr 16 00:17:57 +0000 2016	"RT @DolarToday: ""El acto de desobediencia, como acto de libertad, es el comienzo de la raz??n"" - Erich Fromm https://t.co/TrHmSeDEtk"	0	0	yennyrealter76	"Hialeah Gardens, FL"	"25.8906709, -80.3641741881597"	"25.8906709, -80.3641741881597"	30885	15	0
Natural Pet Food	Mon Apr 11 21:19:27 +0000 2016	"Treat your pup or kitty right! Natural K9 is a natural pet food store in nearby Davie, offering friendly,... https://t.co/VHggiZ7qQL"	0.233035714	0.458928571	ResortPembroke	"Pembroke Pines, Fl  33025"	"26.02322025, -80.3412389662561"	"26.02322025, -80.3412389662561"	848	0	0
